Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Peru,1105.078,1041.867,1061.043,775.000,1057.017,1760.467,1679.374,1647.733,1949.254,2407.330,2361.566,2662.796,2789.464,2503.025,3184.062,2369.438,3881.026,2879.494,3732.567,3073.578,3816.671,4697.070,4310.352,3736.076,2719.890,2789.839,3959.584,3945.823,4063.939,3771.946
Philippines,168.282,103.025,41.316,34.758,125.670,57.324,27.032,30.929,21.003,8.595,4.997,3.014,7.008,12.331,28.813,34.415,38.087,32.424,4.393,6.731,6.367,10.326,3.091,6.092,12.038,14.831,12.943,8.549,3.993,7.086
Rwanda,779.150,473.980,644.525,480.725,30.024,313.899,265.306,217.949,214.272,314.019,270.158,278.773,329.949,245.426,450.444,235.599,388.967,255.536,326.068,304.316,295.963,276.812,250.845,254.267,255.683,262.684,244.335,245.941,350.372,388.866
Sierra Leone,139.744,103.821,47.020,40.986,61.924,71.475,28.512,46.943,41.865,22.945,39.796,35.903,80.461,33.974,22.946,20.385,50.983,51.090,25.712,103.733,57.576,37.387,65.270,56.992,24.032,54.040,25.807,34.974,26.546,46.740
Sri Lanka,19.137,22.168,14.724,14.464,47.359,21.896,11.536,21.136,27.266,17.260,2.431,4.143,2.912,5.976,6.913,2.509,7.429,4.254,1.701,0.649,1.655,2.354,0.153,0.280,2.338,0.483,1.449,1.689,1.538,0.955
Tanzania,1019.052,871.330,827.786,1037.296,632.138,744.653,969.637,655.167,742.305,643.354,740.349,866.162,496.102,882.665,552.832,711.757,731.541,807.248,817.936,1156.944,555.802,798.100,756.221,934.795,717.957,708.912,904.798,664.079,856.004,1069.214
Thailand,1001.435,540.937,1163.776,981.782,1136.046,1209.523,872.686,1066.230,778.031,493.404,970.331,1147.791,253.300,180.635,419.814,374.568,540.099,365.445,175.043,185.388,369.628,242.754,349.719,49.308,27.370,578.329,130.953,141.126,258.134,174.299
Timor-Leste,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.195,31.665,30.026,45.907,22.436,18.401,49.302,31.252,49.608,43.197,68.039,38.721,55.877,70.240,111.062,67.686,67.853,86.278,128.668,117.198
Togo,238.838,154.834,313.177,218.284,165.795,200.316,85.490,313.137,165.801,320.880,282.600,193.325,100.191,71.558,148.541,163.998,117.895,154.908,120.659,151.704,198.108,155.084,147.390,90.757,133.969,178.105,74.877,27.329,111.044,58.493
Trinidad and Tobago,30.232,7.672,2.451,9.744,5.400,4.060,3.757,3.952,5.219,2.967,3.097,2.840,2.145,1.792,2.186,0.774,0.792,0.760,1.260,0.143,0.500,0.300,1.448,2.486,2.137,1.932,1.765,1.800,2.871,2.471
Uganda,2352.680,2095.093,1961.034,1829.081,3368.765,3079.261,4654.503,3501.942,3286.012,3840.797,2513.272,3059.763,3357.847,2522.128,2627.011,2368.692,2172.889,2693.187,3310.650,3014.351,2656.536,3142.011,2685.237,3671.879,3442.351,3595.607,3543.097,4774.033,4223.182,4526.143
Venezuela,277.795,127.889,135.818,525.002,385.996,96.752,494.567,104.537,267.563,464.082,38.367,25.934,191.901,259.952,169.835,22.069,64.869,70.380,125.486,18.182,19.084,0.467,2.315,5.763,0.082,0.504,0.000,0.000,71.773,53.233
Vietnam,1145.234,1200.952,1937.611,2071.837,2720.911,3546.405,3779.415,6177.834,6466.712,7727.013,11618.376,14106.443,11771.367,11631.111,14858.991,13432.034,13904.702,17936.219,16101.372,17051.734,14228.586,17717.395,22919.664,19717.764,26097.144,21943.502,29721.291,25092.159,31385.066,27400.162
Yemen,50.000,71.667,36.989,50.853,92.840,76.874,42.007,79.789,70.791,68.004,58.104,65.880,60.998,55.327,44.628,77.869,60.565,72.241,66.580,39.364,43.530,35.277,62.652,55.349,56.989,52.232,37.901,46.422,42.118,12.181
Zambia,24.360,29.198,30.514,23.072,23.954,20.742,35.824,38.890,33.308,51.184,64.552,114.945,99.446,129.673,103.755,105.802,77.946,53.682,48.486,32.548,17.871,9.003,7.076,10.255,5.244,2.940,9.791,12.569,26.169,27.277
Zimbabwe,250.772,239.324,162.318,69.828,31.744,156.975,150.362,109.008,153.268,131.422,117.057,104.568,119.089,97.428,113.008,70.885,54.241,32.403,23.101,18.479,7.434,4.562,4.004,2.181,11.302,11.069,12.287,2.349,4.805,6.268
