Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Mexico,4674.245,4727.206,3400.811,5023.488,4158.777,5299.888,5109.551,4801.561,4801.348,6218.677,4814.979,4438.404,4351.426,4201.019,3867.347,4224.664,4200.338,4150.318,4650.649,4108.624,4001.432,4561.058,4326.942,3916.477,3636.401,2772.039,3635.295,4484.581,4350.701,3984.601
Nepal,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.900,0.950,1.300,2.250,1.257,1.462,1.108,3.083,2.011,1.207,0.905,2.138,1.676,1.433,2.453,0.549,0.694
Nicaragua,461.078,707.067,547.294,706.130,682.969,984.676,793.305,1083.523,1073.080,1554.055,1572.433,1078.752,1170.017,1509.098,1068.077,1431.812,1427.926,1905.671,1444.734,1871.121,1637.822,2193.421,1873.475,2059.863,1897.683,2130.422,2555.298,2642.285,2879.100,2882.320
Nigeria,29.190,44.313,48.882,45.319,51.631,53.038,45.975,44.667,53.405,45.067,49.431,44.003,49.815,46.150,45.138,68.572,50.735,42.166,50.005,34.269,42.055,46.880,40.764,40.858,42.798,41.278,43.318,42.288,41.525,42.470
Panama,214.987,192.532,196.978,142.066,248.313,209.448,210.742,217.469,191.996,166.381,170.226,159.939,139.962,172.062,90.389,176.331,173.102,176.055,149.161,137.739,113.850,105.631,115.520,113.469,106.217,127.078,120.190,104.562,127.744,114.405
Papua New Guinea,962.841,746.816,900.111,1019.481,1138.659,1002.363,1089.348,1074.021,1352.149,1387.052,1040.739,1062.593,1085.147,1154.944,997.514,1268.133,807.220,967.711,1027.653,1037.994,866.518,1413.855,716.488,835.359,797.564,711.982,1171.145,733.938,930.369,751.721
Paraguay,130.627,79.653,54.291,66.528,25.264,26.254,30.843,49.341,31.740,18.973,21.608,22.164,35.581,47.495,38.052,43.734,34.754,38.630,20.015,20.017,20.197,20.020,20.007,20.032,20.020,20.000,20.010,20.001,20.014,20.004
Peru,936.632,1200.474,1761.953,665.497,1178.628,1870.939,1805.861,1929.959,2102.298,2743.533,2675.593,2828.946,3000.320,2685.986,3425.156,2488.835,4319.059,3062.931,3872.262,3286.087,4068.823,5372.530,4450.048,4106.238,2883.229,3303.554,4222.878,4279.083,4263.339,3836.382
Philippines,973.632,1018.482,919.851,874.855,876.764,849.590,889.819,935.472,676.729,621.763,340.922,262.682,255.210,292.691,354.813,432.337,441.109,445.611,586.834,730.418,189.053,179.661,177.462,185.682,193.214,208.073,214.642,203.318,206.210,306.534
Rwanda,534.875,483.830,638.875,443.625,22.449,329.078,293.003,193.422,222.637,307.275,273.363,295.510,319.680,265.742,449.733,337.011,351.013,224.045,368.728,258.941,322.919,251.071,258.559,257.728,238.344,292.629,231.091,264.452,379.845,347.984
Sierra Leone,42.783,54.379,39.084,37.451,72.738,43.768,40.910,49.679,26.882,59.020,49.155,79.200,41.729,35.516,14.526,59.966,31.472,40.001,86.286,90.702,32.915,78.298,61.183,31.735,46.448,45.928,37.922,37.946,44.743,39.987
Sri Lanka,95.870,81.549,53.181,53.790,42.448,35.595,36.999,57.584,45.738,31.716,33.280,31.531,34.381,36.894,31.644,34.943,32.875,33.491,30.864,31.503,37.088,35.699,35.248,37.083,35.702,36.193,36.716,36.783,35.878,36.219
Tanzania,931.779,789.977,786.434,734.375,679.024,897.121,763.940,623.780,739.312,842.218,808.871,624.089,823.609,611.734,763.182,804.407,821.807,809.796,1186.282,674.934,845.908,641.039,1151.122,810.935,752.669,930.172,846.092,783.403,1174.859,926.393
Thailand,757.017,1468.936,1254.945,1275.201,1399.135,1317.226,1403.581,1293.076,915.986,1272.838,1692.234,714.500,731.900,826.567,884.383,1063.965,822.469,650.421,674.563,794.797,828.173,831.276,608.095,638.004,844.887,761.981,537.544,638.233,482.007,516.578
Timor-Leste,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.128,32.854,36.809,41.823,16.593,23.523,46.208,36.303,47.692,46.913,60.102,47.353,60.748,80.218,110.924,59.159,82.021,64.892,139.097,103.053
Togo,161.308,432.652,85.648,194.939,176.296,84.401,290.586,221.078,321.486,262.808,197.401,112.018,68.205,143.792,165.522,140.076,133.950,125.131,137.753,201.883,160.291,160.047,84.059,171.506,143.242,80.923,23.277,114.716,54.263,40.617
Trinidad and Tobago,14.581,17.792,14.328,16.079,18.435,17.629,18.188,19.392,17.018,16.890,16.393,16.165,16.552,16.097,15.124,14.862,11.698,12.135,11.419,11.407,10.359,11.158,12.227,12.224,12.001,11.790,11.791,12.001,13.320,11.691
Uganda,1955.009,2088.001,2185.074,3141.706,2392.753,3243.584,3418.724,3439.868,3385.839,2862.447,3400.683,3157.777,2890.058,2598.532,2612.619,2175.201,2894.160,3489.648,3335.167,2893.876,3267.232,3115.063,3913.502,3632.867,3744.477,3649.567,4962.158,4596.813,4703.964,5509.154
Venezuela,1122.477,940.704,1215.298,1332.881,988.996,1466.554,1206.162,951.285,1597.279,1366.835,1449.924,1264.613,1483.590,1420.525,1326.534,1506.301,1570.896,1520.451,932.422,1213.706,1202.134,902.072,952.420,803.769,650.398,500.126,525.000,571.513,578.389,650.105
Vietnam,1310.288,1437.848,2340.447,3020.216,3631.609,3970.086,5752.481,6978.942,7051.722,11630.914,14841.309,13093.244,11573.935,15337.352,14370.453,13841.836,19339.750,16405.099,18438.120,17825.345,20000.000,26499.611,23402.106,27609.781,27240.522,31090.042,27819.176,33432.499,30283.075,30487.164
Yemen,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,68.701,60.579,63.936,62.219,56.745,193.303,205.559,203.181,207.234,197.954,219.797,135.182,161.168,185.068,187.525,187.298,178.381,156.246,143.453,132.128,85.576,91.428
Zambia,22.686,29.138,29.307,26.606,21.455,26.333,33.025,38.462,61.686,58.725,93.374,99.672,118.927,100.333,110.377,102.936,56.070,61.474,34.697,28.217,13.178,11.189,5.370,10.753,2.611,3.689,13.318,18.616,34.283,14.543
Zimbabwe,251.901,201.394,77.824,11.600,106.302,130.644,174.393,130.193,149.450,125.484,108.523,121.042,110.121,91.649,120.313,65.930,45.149,31.244,24.249,21.368,10.086,8.856,7.321,8.642,15.012,14.284,15.118,6.802,9.879,9.078
